"Type","Category","Description","Location","Label","Code Unit"
"Analysis","RECOVERED CLASS","INDETERMINATE INLINE inlined constructor or destructor (approx location) for Mysql::I_callable<void\,class_Mysql::Tools::Dump::Item_processing_data*>","0041cca2","","MOV dword ptr [EDI + -0x58]\,Mysql::I_callable<void\,class_Mysql::Tools::Dump::Item_processing_data*>::`vftable'"
"Analysis","RECOVERED CLASS","INLINED DESTRUCTOR Mysql::I_callable<void\,bool>::~I_callable<void\,bool>","0041cfca","","MOV dword ptr [ESI]\,Mysql::I_callable<void\,bool>::`vftable'"
"Analysis","RECOVERED CLASS","INLINED DESTRUCTOR Mysql::I_callable<void\,bool>::~I_callable<void\,bool>","0041cffa","","MOV dword ptr [ESI]\,Mysql::I_callable<void\,bool>::`vftable'"
"Analysis","RECOVERED CLASS","INLINED DESTRUCTOR Mysql::I_callable<__int64\,class_Mysql::Tools::Base::Message_data_const&>::~I_callable<__int64\,class_Mysql::Tools::Base::Message_data_const&>","004243da","","MOV dword ptr [ESI]\,Mysql::I_callable<__int64\,class_Mysql::Tools::Base::Message_data_const&>::`vftable'"
"Analysis","RECOVERED CLASS","INLINED DESTRUCTOR Mysql::I_callable<__int64\,class_Mysql::Tools::Base::Message_data_const&>::~I_callable<__int64\,class_Mysql::Tools::Base::Message_data_const&>","0042440a","","MOV dword ptr [ESI]\,Mysql::I_callable<__int64\,class_Mysql::Tools::Base::Message_data_const&>::`vftable'"
"Analysis","RECOVERED CLASS","INLINED DESTRUCTOR Mysql::I_callable<__int64\,class_Mysql::Tools::Base::Message_data_const&>::~I_callable<__int64\,class_Mysql::Tools::Base::Message_data_const&>","004243ab","","MOV dword ptr [ESI]\,Mysql::I_callable<__int64\,class_Mysql::Tools::Base::Message_data_const&>::`vftable'"
"Analysis","RECOVERED CLASS","INLINED DESTRUCTOR Mysql::Tools::Dump::I_data_object::~I_data_object","0042779a","","MOV dword ptr [ESI]\,Mysql::Tools::Dump::I_data_object::`vftable'"
"Analysis","RECOVERED CLASS","INLINED DESTRUCTOR Mysql::Tools::Dump::I_data_object::~I_data_object","0042773f","","MOV dword ptr [ESI]\,Mysql::Tools::Dump::I_data_object::`vftable'"
"Analysis","RECOVERED CLASS","INLINED DESTRUCTOR Mysql::Tools::Dump::I_data_object::~I_data_object","0043c571","","MOV dword ptr [ESI]\,Mysql::Tools::Dump::I_data_object::`vftable'"
"Analysis","RECOVERED CLASS","INLINED DESTRUCTOR Mysql::Tools::Dump::I_data_formatter_wrapper::~I_data_formatter_wrapper","0042edba","","MOV dword ptr [ESI]\,Mysql::Tools::Dump::I_data_formatter_wrapper::`vftable'"
